	year	num_pages
425	2013	10.0
426	2013	6.0
427	2013	10.0
428	2013	11.0
429	2013	10.0
430	2013	10.0
431	2013	6.0
432	2013	12.0
433	2013	10.0
434	2013	11.0
435	2013	10.0
436	2013	7.0
437	2013	13.0
438	2013	10.0
439	2013	11.0
440	2013	12.0
441	2013	10.0
442	2013	14.0
443	2013	10.0
444	2013	11.0
445	2013	14.0
446	2013	12.0
447	2013	10.0
448	2013	10.0
449	2013	10.0
450	2013	12.0
451	2013	11.0
452	2013	10.0
453	2013	11.0
454	2013	10.0
455	2013	10.0
456	2013	6.0
457	2013	13.0
458	2013	11.0
459	2013	12.0
460	2013	14.0
461	2013	5.0
462	2013	12.0
463	2013	12.0
464	2013	10.0
465	2013	14.0
466	2013	11.0
467	2013	12.0
468	2013	10.0
469	2013	10.0
470	2013	11.0
471	2013	12.0
472	2013	10.0
473	2013	12.0
474	2013	11.0
475	2013	11.0
476	2013	5.0
477	2013	10.0
478	2013	14.0
479	2013	11.0
480	2013	11.0
481	2013	11.0
482	2013	9.0
483	2013	9.0
484	2013	10.0
485	2013	11.0
486	2013	10.0
487	2013	10.0
488	2013	11.0
489	2013	13.0
490	2013	10.0
491	2013	6.0
492	2013	12.0
493	2013	12.0
494	2013	12.0
495	2013	11.0
496	2013	12.0
497	2013	12.0
498	2013	11.0
499	2013	11.0
500	2013	11.0
501	2013	10.0
502	2013	11.0
503	2013	11.0
504	2013	17.0
505	2013	10.0
506	2013	12.0
507	2013	11.0
508	2013	15.0
509	2013	10.0
510	2013	13.0
511	2013	6.0
512	2013	10.0
513	2013	15.0
514	2013	11.0
515	2013	12.0
516	2013	10.0
517	2013	11.0
518	2013	6.0
519	2013	11.0
520	2013	12.0
521	2013	12.0
522	2013	6.0
523	2013	6.0
524	2013	10.0
525	2013	12.0
526	2013	12.0
527	2013	8.0
528	2013	11.0
529	2013	12.0
530	2013	12.0
531	2013	10.0
532	2013	12.0
533	2013	11.0
534	2013	10.0
535	2013	12.0
536	2013	10.0
537	2013	12.0
538	2013	11.0
539	2013	11.0
540	2013	10.0
541	2013	10.0
542	2013	12.0
543	2013	11.0
544	2013	11.0
545	2013	5.0
546	2013	10.0
547	2013	12.0
548	2013	15.0
549	2013	12.0
550	2013	9.0
551	2013	13.0
552	2013	16.0
553	2013	7.0
554	2013	13.0
555	2013	10.0
556	2013	13.0
557	2013	10.0
558	2013	15.0
559	2014	13.0
560	2014	12.0
561	2014	10.0
562	2014	11.0
563	2014	13.0
564	2014	13.0
565	2014	9.0
566	2014	13.0
567	2014	12.0
568	2014	11.0
569	2014	14.0
570	2014	12.0
571	2014	12.0
572	2014	13.0
573	2014	13.0
574	2014	13.0
575	2014	14.0
576	2014	13.0
577	2014	12.0
578	2014	12.0
579	2014	9.0
580	2014	12.0
581	2014	14.0
582	2014	12.0
583	2014	10.0
584	2014	14.0
585	2014	13.0
586	2014	10.0
587	2014	13.0
588	2014	13.0
589	2014	11.0
590	2014	14.0
591	2014	12.0
592	2014	10.0
593	2014	11.0
594	2014	10.0
595	2014	13.0
596	2014	12.0
597	2014	14.0
598	2014	12.0
599	2014	12.0
